intensity,known_dose,duration_minutes
0.0079,0.1,1.0
0.0,0.29,3.3
0.0811,0.78,13.0
0.03,0.78,4.3
0.0754,0.91,4.5
0.0324,1.06,3.6
0.1059,1.87,1.0
0.2179,2.99,14.2
0.2322,3.01,12.7
0.2509,3.54,28.3
0.2509,3.66,18.5
0.2757,4.16,18.2
0.2559,4.33,18.5
0.2983,4.75,18.0
0.31,4.85,24.9
0.3924,5.7,24.6
0.4416,7.09,32.9
0.418,7.75,25.1
0.4806,8.0,49.9
0.5178,9.37,40.9
0.511,9.38,47.7
0.55,9.56,61.1
0.5939,10.5,48.7
0.6241,11.48,41.6
0.5912,11.84,63.1
0.6306,12.71,55.7
0.6512,12.87,58.1
0.6951,13.89,73.8
0.6663,14.18,53.3
0.7341,16.78,64.8
0.7996,21.95,82.2
0.8104,22.93,107.6
0.8862,25.12,125.1
0.9367,29.14,150.5
0.928,33.2,120.7
0.9781,38.23,166.7
0.97,40.53,176.8
0.9549,44.25,181.1
0.9883,48.47,173.2
1.0,48.97,205.4
