temperature_c,humidity_rh,exposure_time_h,h2s_ppm,mean_r,mean_g,mean_b,gray,hue,sat,val,data_type
25.0,20.0,1.0,0.0,242.606,235.626,225.334,236.495,18.053,18.273,242.606,SIMULATED_FROM_REFERENCE_IMAGE
25.0,20.0,1.0,1.0,222.791,214.137,204.945,215.859,15.377,20.419,222.791,SIMULATED_FROM_REFERENCE_IMAGE
25.0,20.0,1.0,3.0,204.963,194.365,183.593,196.41,15.03,26.602,204.963,SIMULATED_FROM_REFERENCE_IMAGE
25.0,20.0,1.0,5.0,197.975,187.891,177.791,189.886,14.929,25.96,197.975,SIMULATED_FROM_REFERENCE_IMAGE
25.0,20.0,1.0,10.0,173.459,161.167,150.131,163.648,13.996,34.322,173.459,SIMULATED_FROM_REFERENCE_IMAGE
25.0,20.0,1.0,25.0,143.231,129.367,116.239,132.086,14.383,48.23,143.231,SIMULATED_FROM_REFERENCE_IMAGE
25.0,20.0,1.0,50.0,112.348,103.122,93.735,104.93,18.069,46.031,112.464,SIMULATED_FROM_REFERENCE_IMAGE
25.0,20.0,1.0,100.0,101.936,94.612,87.697,96.043,17.463,43.125,102.03,SIMULATED_FROM_REFERENCE_IMAGE
25.0,20.0,1.0,400.0,72.201,68.093,64.651,69.009,15.027,36.768,72.211,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,1.0,0.0,241.033,233.942,222.601,234.639,18.387,19.449,241.033,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,1.0,1.0,218.041,209.935,200.595,211.465,16.184,20.425,218.041,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,1.0,3.0,197.668,186.742,174.722,188.728,15.552,29.595,197.668,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,1.0,5.0,172.698,158.72,145.666,161.627,14.136,39.983,172.698,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,1.0,10.0,141.338,125.453,112.107,128.506,13.469,52.821,141.338,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,1.0,25.0,114.164,100.728,88.636,103.491,13.923,57.297,114.164,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,1.0,50.0,100.034,90.579,81.407,92.475,17.012,52.605,100.124,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,1.0,100.0,90.813,82.925,77.204,84.618,16.086,48.536,90.886,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,1.0,400.0,58.382,54.225,52.263,55.24,15.491,44.305,58.451,SIMULATED_FROM_REFERENCE_IMAGE
25.0,90.0,1.0,0.0,240.112,233.405,223.518,234.22,18.029,17.61,240.112,SIMULATED_FROM_REFERENCE_IMAGE
25.0,90.0,1.0,1.0,216.27,209.804,200.461,210.637,18.006,18.644,216.27,SIMULATED_FROM_REFERENCE_IMAGE
25.0,90.0,1.0,3.0,195.263,186.64,175.665,188.007,16.638,25.579,195.263,SIMULATED_FROM_REFERENCE_IMAGE
25.0,90.0,1.0,5.0,173.342,162.36,150.092,164.347,15.661,34.175,173.342,SIMULATED_FROM_REFERENCE_IMAGE
25.0,90.0,1.0,10.0,143.278,128.599,115.766,131.54,13.743,49.018,143.278,SIMULATED_FROM_REFERENCE_IMAGE
25.0,90.0,1.0,25.0,110.054,97.48,85.792,99.936,14.281,56.53,110.054,SIMULATED_FROM_REFERENCE_IMAGE
25.0,90.0,1.0,50.0,101.171,92.034,82.921,93.867,17.634,50.759,101.241,SIMULATED_FROM_REFERENCE_IMAGE
25.0,90.0,1.0,100.0,89.803,82.011,77.354,83.723,15.518,45.031,89.909,SIMULATED_FROM_REFERENCE_IMAGE
25.0,90.0,1.0,400.0,55.156,51.845,50.04,52.569,17.018,40.135,55.198,SIMULATED_FROM_REFERENCE_IMAGE
45.0,20.0,1.0,0.0,238.441,232.005,223.062,232.813,17.624,16.398,238.441,SIMULATED_FROM_REFERENCE_IMAGE
45.0,20.0,1.0,1.0,218.758,212.337,204.084,213.216,16.952,17.075,218.758,SIMULATED_FROM_REFERENCE_IMAGE
45.0,20.0,1.0,3.0,199.04,190.315,181.13,192.053,15.296,22.974,199.04,SIMULATED_FROM_REFERENCE_IMAGE
