mean_r,mean_g,mean_b,hue,sat,val,humidity_rh
105.514,150.066,194.993,104.905,117.012,194.993,20.0
105.803,150.574,195.385,104.791,116.927,195.385,20.0
105.754,150.405,195.276,104.853,116.9,195.276,20.0
105.514,150.066,194.993,104.905,117.012,194.993,20.0
140.083,178.085,213.169,104.333,87.421,213.169,30.0
140.456,178.853,213.959,104.259,87.603,213.959,30.0
140.227,178.361,213.514,104.341,87.526,213.514,30.0
140.083,178.085,213.169,104.333,87.421,213.169,30.0
151.029,186.095,217.426,104.072,77.891,217.426,40.0
150.803,186.063,217.515,104.014,78.218,217.515,40.0
151.085,186.169,217.501,104.051,77.883,217.501,40.0
151.029,186.095,217.426,104.072,77.891,217.426,40.0
146.284,153.802,196.41,115.71,65.02,196.41,50.0
145.776,153.383,196.46,115.664,65.748,196.46,50.0
146.092,153.684,196.445,115.671,65.309,196.445,50.0
146.284,153.802,196.41,115.71,65.02,196.41,50.0
165.853,152.265,188.559,131.321,49.096,188.559,60.0
166.057,152.764,188.909,131.15,48.812,188.909,60.0
166.084,152.572,188.828,131.274,48.985,188.828,60.0
165.853,152.265,188.559,131.321,49.096,188.559,60.0
192.31,157.268,182.745,158.06,46.481,192.31,70.0
192.395,157.032,182.714,158.014,46.88,192.395,70.0
192.422,157.183,182.787,158.036,46.718,192.422,70.0
192.31,157.268,182.745,158.06,46.481,192.31,70.0
200.832,143.881,166.274,168.391,72.313,200.832,80.0
201.12,143.605,166.245,168.39,72.973,201.12,80.0
201.117,144.013,166.471,168.376,72.423,201.117,80.0
200.832,143.881,166.274,168.391,72.313,200.832,80.0
214.595,140.811,159.248,172.414,87.701,214.595,90.0
215.054,141.243,159.771,172.397,87.549,215.054,90.0
214.897,141.033,159.588,172.386,87.678,214.897,90.0
214.595,140.811,159.248,172.414,87.701,214.595,90.0
