h,s,v,label
28.8,66.6,204.7,fresh
19.6,40.1,102.7,expired
28.4,75.2,199.3,fresh
9.4,43.7,105.0,expired
21.8,36.7,123.8,expired
18.9,29.8,125.5,expired
18.1,35.5,102.9,expired
5.3,41.9,94.6,expired
30.9,63.9,210.5,fresh
18.4,29.2,91.1,expired
10.4,18.8,129.0,expired
38.9,53.1,205.6,fresh
13.1,52.2,87.2,expired
28.9,28.7,96.1,expired
13.6,36.5,99.4,expired
20.7,35.4,141.8,expired
37.6,58.0,191.5,fresh
29.0,57.9,200.6,fresh
36.5,62.2,201.7,fresh
15.5,41.8,121.6,expired
18.1,26.4,100.2,expired
18.1,29.3,136.5,expired
12.1,29.7,116.7,expired
6.7,31.2,92.0,expired
40.8,51.4,210.8,fresh
38.1,40.4,116.1,expired
36.3,52.9,195.5,fresh
37.4,71.6,201.5,fresh
36.7,53.5,208.6,fresh
19.1,39.0,61.4,expired
38.9,63.3,207.1,fresh
30.1,65.0,203.6,fresh
36.3,67.7,197.8,fresh
38.3,81.8,188.6,fresh
36.5,54.0,184.9,fresh
31.4,66.6,203.9,fresh
36.2,62.7,187.5,fresh
31.6,59.4,202.1,fresh
44.3,60.1,191.2,fresh
3.8,34.1,109.1,expired
